year,avg_median_aqi,avg_90th_percentile_aqi,total_days_co,total_days_no2,total_days_ozone,total_days_so2,total_days_pm25,total_days_pm10,storm_count,avg_wind_speed,max_wind_speed,min_wind_speed,std_wind_speed,median_wind_speed
1980,50.59528907922912,109.5203426124197,19739,13903,55121,54824,0,0,459,51.071895424836605,165,-99,32.084584833750064,40.0
1981,49.09243697478992,101.1344537815126,20915,13543,59362,55964,0,0,455,42.05714285714286,115,-99,27.666218299409117,35.0
1982,48.807453416149066,99.33540372670808,21617,12612,62983,56364,0,3,141,44.04255319148936,115,20,22.84196399500131,30.0
1983,46.85170340681363,106.21643286573146,21897,12524,66689,59462,0,141,135,38.925925925925924,100,20,17.356933162296908,30.0
1984,48.13729508196721,100.17213114754098,21418,13674,65300,59587,0,563,422,43.13744075829384,115,-99,23.273139504874415,40.0
1985,46.49626865671642,95.6231343283582,19296,13300,67695,55862,0,5770,373,48.37801608579088,125,20,23.537530071355306,40.0
1986,45.65036231884058,93.65217391304348,17571,13046,66069,54884,0,12869,232,40.78448275862069,90,-99,24.183571409910268,40.0
1987,44.575129533678755,96.99654576856649,17932,13637,71298,53235,0,12223,370,33.413513513513514,110,-99,19.342984164865978,30.0
1988,44.03409090909091,102.6038961038961,17226,14010,77155,52560,1137,14444,430,46.627906976744185,160,15,29.310668762437853,30.0
1989,41.63117283950617,85.03395061728395,16703,14678,78495,52881,1401,17933,452,51.43805309734513,140,15,28.889853729801494,40.0
1990,40.041726618705034,83.68057553956835,14739,14927,93944,51673,1198,19146,503,44.035785288270375,105,15,18.60992730112103,40.0
1991,39.6597510373444,84.77869986168741,14154,15293,98765,50579,1510,20575,242,41.34297520661157,115,10,21.338852129356745,35.0
1992,37.25469168900804,74.29490616621985,14219,18014,103152,48291,1907,22683,259,52.972972972972975,150,20,28.59506183385887,45.0
1993,38.36063408190225,78.96961690885072,14016,18648,111475,46911,2029,23134,224,44.50892857142857,100,20,19.459741372199726,35.0
1994,38.44025974025974,79.86233766233767,13422,20298,117665,43723,2280,24155,234,38.24786324786325,95,10,17.01194025661163,35.0
1995,37.061557788944725,81.01381909547739,13679,22095,120172,41556,2552,24536,762,54.02230971128609,130,20,25.300990219565502,50.0
1996,36.30325814536341,76.42105263157895,12451,22017,119456,42296,2723,24890,544,54.255514705882355,125,15,26.37118116526729,45.0
1997,36.6740467404674,76.86223862238623,11216,21392,128077,41508,2886,26032,197,45.964467005076145,110,20,21.07648259837416,40.0
1998,38.74937965260546,86.99627791563276,11092,21274,134818,39237,3238,22689,539,57.47680890538033,155,20,26.505539159859854,50.0
1999,42.78947368421053,89.72280701754386,8268,17258,129732,33286,37360,16617,457,58.55579868708971,135,20,29.327133532918435,50.0
2000,41.34035476718404,80.69068736141907,6950,14512,128566,30018,59280,15051,449,50.82405345211581,120,20,22.73169889000178,45.0
2001,41.11159737417943,81.37308533916848,5817,12960,136194,27738,62840,15727,489,47.740286298568506,125,10,23.036767491886586,45.0
2002,40.364908503767495,85.17976318622175,5112,12468,139361,26698,66104,15916,400,42.5,125,10,20.689856824990265,35.0
2003,39.782010582010585,75.73439153439153,4812,12227,140121,25000,69849,16744,593,50.640809443507585,145,15,29.650454978377248,40.0
2004,38.71277719112988,70.14783526927138,3894,11573,141372,24706,80326,16479,604,58.11258278145695,145,15,33.50696926023605,45.0
2005,40.66077003121748,79.22788761706556,3170,11179,143690,22663,85835,17038,873,51.09392898052692,160,10,28.425427502445515,45.0
2006,39.816770186335404,74.27536231884058,2561,10824,146495,21460,87141,17785,398,48.70603015075377,105,15,19.0953200596494,45.0
2007,41.38900414937759,77.06846473029046,1990,8504,147525,18962,99730,15501,373,44.9597855227882,150,15,28.46306778811562,35.0
2008,39.611971104231166,68.49019607843137,1826,8478,148492,17750,103106,14594,556,51.18705035971223,135,15,24.111846991427264,45.0
2009,37.26584867075665,60.94989775051125,1527,6912,151598,15138,110592,14112,265,45.0,115,20,23.5849528301415,35.0
2010,39.34288638689867,66.75742067553736,1325,6024,160990,13316,109625,13526,663,49.26093514328809,135,15,25.77171035677122,40.0
2011,39.22560975609756,67.1270325203252,1227,5729,161262,12722,112451,13321,557,48.33931777378815,120,15,20.145106201017587,45.0
2012,38.975485188968335,69.0990806945863,806,5483,168889,12678,108575,13562,654,47.522935779816514,100,20,17.275674723629912,45.0
2013,37.372069317023445,59.93985728848114,853,4656,166162,11088,113860,12921,330,37.24242424242424,80,20,11.874547639517878,35.0
2014,37.24566768603466,58.671763506625894,727,5257,167733,11347,113461,13017,300,48.733333333333334,125,15,24.662854868332058,40.0
2015,36.452620967741936,58.33568548387097,470,5506,170426,10199,116344,12147,339,42.75811209439528,135,15,23.002840395215383,35.0
2016,35.30707876370887,55.78963110667996,463,5280,180203,9829,110116,12088,586,49.77815699658703,145,20,25.376520556843307,45.0
2017,35.918467583497055,57.20628683693517,459,4875,181746,15834,116704,11121,610,57.72950819672131,155,15,33.28190701767409,45.0
2018,35.0341796875,58.1337890625,454,4498,182633,16323,120231,10634,608,48.42927631578947,140,15,21.754772200110782,45.0
2019,34.695441319107665,53.3462657613967,772,4811,189321,16629,115482,10316,463,53.07775377969762,160,15,28.26854832460986,45.0
2020,33.04615384615385,52.29423076923077,847,4981,182658,15966,120769,11480,863,46.43105446118192,135,15,22.195546462331844,40.0
2021,32.824414715719065,48.57190635451505,286,604,20660,2281,14915,1565,592,49.72128378378378,135,15,25.674620644107343,40.0
